keys,en
Text/48/text,...
Text/49/text,....what......is..this?....................
Text/4a/text,.........everything....spinning......
Text/4b/text,"Well well well. Greetings, little one!"
Text/4c/text,Who's......this?
Text/4d/text,Who am I indeed! Juuust see me as a viewer for now
Text/4e/text,You should be asking who you are!
Text/4f/text,I.....don't know
Text/50/text,"I see. In that case, just play around and get used to yourself!"
Text/51/text,I shall be contacting you soon!
Text/52/text,......Myself?
